parish,county,from_year,to_year,comments,district,source_url
Barkisland,Yorkshire West Riding,1837,1937,Abolished 1.4.1937 and added to the parish of Ripponden.,Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Clifton,Yorkshire West Riding,1837,1937,"Abolished 1.4.1937 and divided between the parishes of Brighouse, 
    Cleckheaton and Liversedge. See also Table 2, note (e).",Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Elland with Greetland,Yorkshire West Riding,1837,1894,"Abolished 1894 to become the separate parishes of Elland, Greetland and Upper Greetland.",Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Fixby,Yorkshire West Riding,1837,1937,"Abolished 1.4.1937 and added to the parish of Huddesfield, 
    Elland and Brighouse. See also Table 2, note (f).",Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Halifax,Yorkshire West Riding,1837,1974,Abolished 1.4.1974 and added to the Calderdale unparished area.,Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Hartshead,Yorkshire West Riding,1837,1937,"Abolished 1.4.1937 and divided between the parishes of Liversedge 
    and Brighouse. See also Table 2, note (e).",Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Hipperholme with Brighouse,Yorkshire West Riding,1837,1894,"Abolished 1894 to become the separate parishes of Brighouse, Hipperholme and Norwood Green & Coley.",Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Midgley,Yorkshire West Riding,1837,1938,"See Table 2, notes (b) and (e).",Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Norland,Yorkshire West Riding,1837,1937,Abolished 1.4.1937 and added to the parish of Sowerby Bridge.,Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Northowram,Yorkshire West Riding,1837,1900,Abolished 9.11.1900 and added to the parish of Halifax.,Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Rastrick,Yorkshire West Riding,1837,1915,Abolished 1.4.1915 and added to the parish of Brighouse.,Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Rishworth,Yorkshire West Riding,1837,1937,Abolished 1.4.1937 and added to the parish of Ripponden.,Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Shelf,Yorkshire West Riding,1837,1937,"Abolished 1.4.1937 and added to the parish of Queensbury 
    & Shelf.",Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Skircoat,Yorkshire West Riding,1837,1899,"Abolished 9.11.1899 and divided between the parishes of Halifax 
    and Sowerby Bridge.",Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Southowram,Yorkshire West Riding,1837,1937,"Abolished 1.4.1937 and divided between the parishes of Brighouse 
    and Elland.",Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Sowerby,Yorkshire West Riding,1837,1937,"Created 1.4.1926 by renaming the parish of Sowerby. Abolished 
    1.4.1937 and divided between the parishes of Sowerby Bridge and Ripponden. See 
    also Table 2, note (b).",Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Soyland,Yorkshire West Riding,1837,1937,Abolished 1.4.1937 and added to the parish of Ripponden.,Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Stainland and Old Lindley,Yorkshire West Riding,1837,1937,"Abolished 1.4.1937 and divided between the parishes of Elland and 
    Huddersfield. See also Table 2, notes (d) and (f).",Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
Warley,Yorkshire West Riding,1837,1900,Abolished 9.11.1900 and added to the parish of Halifax.,Halifax,http://www.ukbmd.org.uk/reg/districts/halifax.html
